;track_uri;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;valence;tempo
0;6uSpReaIE9rsnvhmpsJClE;0.34;0.985;4;-2.505;0.236;0.000198;2.76e-06;0.254;172.026
1;0Kt9sF46S7DFKrQOsXqidV;0.737;0.399;4;-10.147;0.135;0.97;0.0;0.82;123.979
2;2JLMHADAyossZlBcpc8TDs;0.697;0.395;6;-13.58;0.0281;0.428;0.653;0.876;113.589
3;1gCL1EfOuH827JuaSbWOti;0.462;0.483;2;-7.109;0.0306;0.158;0.0;0.202;101.709
4;20I8RduZC2PWMWTDCZuuAN;0.277;0.663;4;-8.821;0.0377;0.000409;0.00051;0.527;104.561
5;6crBy2sODw2HS53xquM6us;0.365;0.767;9;-6.185;0.0681;0.181;0.000856;0.422;94.174
6;5MMnwYs0hIxkENRsbkWJ2G;0.598;0.676;0;-9.211;0.0279;0.13;0.225;0.805;114.169
7;7oXIbtib1VHQAJCvuSg3rx;0.515;0.942;2;-4.131;0.0718;0.000254;0.000192;0.707;95.009
8;5QLHGv0DfpeXLNFo7SFEy1;0.767;0.787;3;-9.897;0.0331;0.0163;0.583;0.964;126.879
9;15VRO9CQwMpbqUYA7e6Hwg;0.483;0.753;1;-8.937;0.0832;0.425;0.000142;0.42;115.102
10;5sICkBXVmaCQk5aISGR3x1;0.577;0.828;6;-8.691;0.0298;0.00213;0.0114;0.604;123.257
11;454I78HEySdcHE8fcVabTb;0.511;0.934;3;-4.561;0.242;0.00403;3.48e-05;0.668;168.062
12;5BB0Jzw60KyfSTyjJqtely;0.411;0.986;8;-2.522;0.0583;0.000264;0.00148;0.649;165.981
13;7o2CTH4ctstm8TNelqjb51;0.454;0.91;6;-7.766;0.0448;0.0866;0.0996;0.629;125.116
14;6TfBA04WJ3X1d1wXhaCFVT;0.55;0.917;0;-3.159;0.0638;0.00428;0.0;0.601;126.115
15;5hYb2O44wOiLu8cjIWpFeZ;0.474;0.948;7;-4.277;0.0346;0.00489;0.0;0.928;180.199
16;0a7BloCiNzLDD9qSQHh5m7;0.622;0.961;11;-3.198;0.154;0.00523;0.0;0.449;114.452
17;064eZtt58wbBfhr2842Osz;0.554;0.906;4;-5.945;0.102;0.000759;5.83e-06;0.382;155.067
